word,song,original_deets,kb_deets,original,kb
drink,galway girl,Ed Sheeran,2019,"Chatted some more, one more drink at the bar","Chatted some more, one more song on guitar"
ink,galway girl,Ed Sheeran,2019,"She asked me what does it mean, the Gaelic ink on your arm?","She asked me, ""What does it mean, the Gaelic thing on your arm?"""
jack,galway girl,Ed Sheeran,2019,"She took Jamie as a chaser, Jack for the fun",She took me out to a party just for the fun
kiss,galway girl,Ed Sheeran,2019,Kissed her on the neck and then I took her by the hand,Kissed her on the cheek and then I took her by the hand
kiss,galway girl,Ed Sheeran,2019,And then she kissed me like there was nobody else in the room,And she looked at me like there was nobody else in the room
man,galway girl,Ed Sheeran,2019,But she fell in love with an English man,But she fell in love with an English friend
neck,galway girl,Ed Sheeran,2019,Kissed her on the neck and then I took her by the hand,Kissed her on the cheek and then I took her by the hand
smoke,galway girl,Ed Sheeran,2019,"Our coats both smell of smoke, whisky and wine",*cuts verse*
wine,galway girl,Ed Sheeran,2019,"Our coats both smell of smoke, whisky and wine",*cuts verse*
wine,galway girl,Ed Sheeran,2019,To finish some Doritos and another bottle of wine,*cuts verse*
dress,perfect (2017),Ed Sheeran,2018,"When I saw you in that dress, looking so beautiful","When you said you looked a mess, I whispered underneath my breath"
kiss,perfect (2017),Ed Sheeran,2018,"But darling, just kiss me slow, your heart is all I own","But darling, just take it slow, your heart is all I own"
man,perfect (2017),Ed Sheeran,2018,"Be my girl, I'll be your man","Be my girl, I'll be the one"
woman,perfect (2017),Ed Sheeran,2018,"Well I found a woman, stronger than anyone I know","Well I found the one, stronger than anyone I know"
body,sing! (ft. pharrell williams),Ed Sheeran,2014,To hold your body close,So everybody knows
bottle,sing! (ft. pharrell williams),Ed Sheeran,2014,Then she handed me a bottle of water filled with tequila,"Then she handed me of a bottle of water, said nice to meet ya"
drink,sing! (ft. pharrell williams),Ed Sheeran,2014,But somethin' to drink and maybe somethin' to smoke,But something to sing and maybe to joke
drunk,sing! (ft. pharrell williams),Ed Sheeran,2014,I meant to drive home but I drunk all of it now,"I meant to drive home, but I've sung all of it"
kiss,sing! (ft. pharrell williams),Ed Sheeran,2014,"One thing led to another, now she's kissin' my mouth",One thing led to another now I'm running my mouth
shit,sing! (ft. pharrell williams),Ed Sheeran,2014,Deep shit if anybody finds out,Deep If anybody finds out
smoke,sing! (ft. pharrell williams),Ed Sheeran,2014,But somethin' to drink and maybe somethin' to smoke,But something to sing and maybe to joke
sober,sing! (ft. pharrell williams),Ed Sheeran,2014,"Not soberin' up, we just sit on the couch","Now, waiting it out, I just sit on the couch"
tequila,sing! (ft. pharrell williams),Ed Sheeran,2014,Then she handed me a bottle of water filled with tequila,"Then she handed me of a bottle of water, said nice to meet ya"
hell,i don't care,Ed Sheeran & Justin Bieber,2019,"Finish my drink, say, ""Shall we dance?"" (Hell, yeah)","Finish my drink, say, ""Shall we dance?"" Oh yeah"
kiss,i don't care,Ed Sheeran & Justin Bieber,2019,"Read your lips, I'd rather kiss 'em right back","Move your lips, I'd rather say it right back"
pour,on my mind,Ellie Goulding,2016,"Poured it down, so I poured it down",Kept it down so I kept it down
tattoo,on my mind,Ellie Goulding,2016,You wanted my heart but I just liked your tattoos,"You wanted my heart, and I just felt so confused"
bitch,close to me,Ellie Goulding & Diplo,2019,"I had to cut my bitch off, she bein' stubborn (Stubborn)","I had to cut my words off, I'm bein' stubborn (Stubborn)"
body,close to me,Ellie Goulding & Diplo,2019,And I don't wanna be somebody without your body,And I don't wanna be somebody without somebody
fuck,close to me,Ellie Goulding & Diplo,2019,"I make it known I fuck with you, not undercover ('Cover)","I make it known I hang with you, not undercover ('Cover)"
clothes,american boy,Estelle,2009,Am I shallow ‘cause all my clothes designer?,*cuts verse*
crazy,american boy,Estelle,2009,"He crazy, I know what you thinking",*cuts verse*
drink,american boy,Estelle,2009,"Ribena, I know what you're drinking",*cuts verse*
fuck,american boy,Estelle,2009,"Reluctantly, because most of this press don't fuck with me",*cuts verse*
hell,american boy,Estelle,2009,So to hell with all that rubbish,*cuts verse*
kill,american boy,Estelle,2009,Who killing them in the UK?,*cuts verse*
crazy,crazy for this girl,Evan & Jaron,2002,"Yeah, I'm crazy for this girl",*cuts verse*
blood,uma thurman,Fall Out Boy,2015,"The blood, the blood, the blood of the lamb","The love, the love, the love of a lamb"
death,uma thurman,Fall Out Boy,2015,May nothing but death do us part,May nothing but this do us part
death,uma thurman,Fall Out Boy,2015,And may death find you alive,And may love find you alive
hell,uma thurman,Fall Out Boy,2015,"And CK Eternity, oh hell yes","It ends through eternity, oh yeah yes"
sex,uma thurman,Fall Out Boy,2015,"The stench, the stench of summer sex","The stench, the stench, of sunny heads"
skin,big girls don't cry,Fergie,2008,The smell of your skin lingers on me now,The smell of the air lingers with me now
god,clumsy,Fergie,2008,"She can't help it, the girl can't help it (Oh, God!)","She can't help it, the girl can't help it, oh babe"
ass,glamorous,Fergie,2007,"If you ain't got no money, take yo' broke ass home, you say it!",If you ain't got no money take your broke self home
champagne,glamorous,Fergie,2007,Popping champagne,"We flyin' first class, livin' the life"
champagne,glamorous,Fergie,2007,"I'm talking champagne wishes, caviar dreams",*cuts verse*
damn,glamorous,Fergie,2007,"Damn, it's been a long road and the industry is cold","Yeah, it's been a long road and the industry is cold"
dope,glamorous,Fergie,2007,"When I'd rock on MTV, that'd be really dope","When I'd rock on MTV, that'd be really cool"
fetish,glamorous,Fergie,2007,Plus I gotta keep enough lettuce to support your shoe fetish,*cuts verse*
fuck,glamorous,Fergie,2007,Telling me these crazy things that I don't wanna know (Fuck y'all),Tellin' me these crazy things that I don't want to know
hell,glamorous,Fergie,2007,"I still go to Taco Bell, drive-thru, raw as hell","I still go to Taco Bell, drive through, raw, yeah"
body,that's my girl,Fifth Harmony,2017,Got yourself this flawless body,Got yourself this stress out body
damn,that's my girl,Fifth Harmony,2017,"Yeah, who's been working so damn hard?","Yeah, who's been working so so hard?"
club,worth it,Fifth Harmony,2015,Uh in the club with the lights off,*cuts verse*
ball,club can't handle me,Flo Rida,2011,Ball out 'cause that's the business,Fall out cause that's the business
ball,club can't handle me,Flo Rida,2011,"We can ball, so, ahh!","We can ball, so, ah"
ass,gdfr,Flo Rida,2015,Get that ass on the floor,*cuts verse*
blow,gdfr,Flo Rida,2015,My team blowin' on that slam,*cuts verse*
freak,gdfr,Flo Rida,2015,"If you're a freak, then you comin' home with me",If you can dance then you're dancing here with me
kiss,gdfr,Flo Rida,2015,"Yo' girl just kissed a girl, I do bi chicks","Your girl just danced the twirl, I do high kicks"
man,gdfr,Flo Rida,2015,"We the plus, your man a minus",*cuts verse*
touch,gdfr,Flo Rida,2015,My touch say it's the Midas,*cuts verse*
drink,good feeling,Flo Rida,2012,Like you the one drinking what God sip—dot com,Like you the one thinking what gossip got done
god,good feeling,Flo Rida,2012,Like you the one drinking what God sip—dot com,Like you the one thinking what gossip got done
tongue,good feeling,Flo Rida,2012,Now I gotta word for your tongue,Now I gotta work with your song
booty,"i don't like it, i love it",Flo Rida,2015,"Feel the bass, let ya booty go","Feel the base, let the music go"
champagne,my house,Flo Rida,2016,"Open up the champagne, pop!",This is how we do it! Kidz bop!
clothes,my house,Flo Rida,2016,"Keep our clothes on the floor, open up champagne","Keep our hands in the air, open up and dance"
pour,my house,Flo Rida,2016,"Pour yourself something cold, baby, cheers to this","Play a song, something good, come on dance to this"
vodka,my house,Flo Rida,2016,"Another shot of vodka, you know what's in my glass","Another song to move to, you know my favorite track"
high,wild ones,Flo Rida,2012,"I like 'em untamed, don't tell me high pain","I like em untamed, don't tell me how pain"
bikini,cruise,Florida Georgia Line,2014,"Yeah, when I first saw that bikini top on her","Yeah, when I first saw that pretty smile on her "
blow,cruise,Florida Georgia Line,2014,Down a back road blowing stop signs through the middle,Down a back road blowin' thru pines through the middle 
chest,cruise,Florida Georgia Line,2014,"Girl, you sure got the beat in my chest bumping",*cuts verse*
hell,cruise,Florida Georgia Line,2014,Would look a hell of a lot better with you up in it,Would look a heck of a lot better with us up in it
hell,cruise,Florida Georgia Line,2014,Would look a hell of a lot better with you up in it,Would look a heck of a lot better with us up in it
man,cruise,Florida Georgia Line,2014,"Because it felt so right, her and I, man, we felt so right",*cuts verse*
sippin,cruise,Florida Georgia Line,2014,She was sipping on Southern and singing Marshall Tucker,She was talkin all southern and sining Marshall Tucker
fuck,where’d you go,Fort Minor,2006,"So, I want you to know it's a little fucked up","So, I want you to know it's a little messed up"
fuck,where’d you go,Fort Minor,2006,"And I'll tell you, I want you to know it's a little fucked up","And I'll tell you, I want you to know it's a little messed up"
fuck,where’d you go,Fort Minor,2006,I want you to know it's a little fucked up,I want you to know it's a little messed up
shit,where’d you go,Fort Minor,2006,"She said, ""Some days, I feel like shit","She said, ""Some days I feel so bad"""
shit,where’d you go,Fort Minor,2006,"Shit, I find myself just filling my time","Yeah, I find myself just fillin' my time"
shit,where’d you go,Fort Minor,2006,"I was like, that's the shit, right there",*cuts verse*
man,sit next to me,Foster the People,2019,"Got me praying, man, this hunger, and feeling something rotten","Just got me praying that it's longer, feeling something rotten"
sober,sit next to me,Foster the People,2019,"And now it’s over, we’re sober, symptoms of the culture","And now it’s over, we’re older, symptoms of the culture"
bed,some nights,​fun.,2013,I found a martyr in my bed tonight,I found a martyr in my head tonight
die,some nights,​fun.,2013,Who the fuck wants to die alone,Who the heck wants to be alone
fuck,some nights,​fun.,2013,Who the fuck wants to die alone,Who the heck wants to be alone
lord,some nights,​fun.,2013,"Oh, Lord, I'm still not sure what I stand for, oh","Oh, no, I'm still not sure what I stand for, oh"
lord,some nights,​fun.,2013,"Oh Lord, I'm still not sure what I stand for, oh","Oh, no, I'm still not sure what I stand for, oh"
die,somebody that i used to know,Gotye,2012,Like when you said you felt so happy you could die,Like when you said you felt so happy you could cry
fuck,boulevard of broken dreams,Green Day,2005,"What's fucked up, and everything's all right",What's messed up and everything's all right
body,starving,Hailee Steinfeld & Grey,2017,"By the way, right away, you do things to my body","By the way, by the way, you do things to my heartbeat"
damn,starving,Hailee Steinfeld & Grey,2017,Don't need no butterflies when you give me the whole damn zoo,Don't need no butterflies when you give me the total zoo
bitch,bad at love,Halsey,2018,Now he's gone and he's calling me a bitch again,Now he's gone and he's calling me to talk again
jack,bad at love,Halsey,2018,And he tastes like Jack when I'm kissing him,And it takes me back when I think of him
kiss,bad at love,Halsey,2018,And he tastes like Jack when I'm kissing him,And it takes me back when I think of him
demon,without me,Halsey,2019,Just runnin' from the demons in your mind,Just running from the feelings in your mind
fuck,without me,Halsey,2019,"And if they laugh, then fuck 'em all (All)","And if they laugh, then trick 'em all"
high,without me,Halsey,2019,"Feelin' so high, but too far away to hold me","Feelin' so fly, but too far away to hold me"
sanity,come clean,Hilary Duff,2004,"Oh, I'm coming clean (Let it wash away my sanity)","Let it wash away, my sanity"
amen,exit sign (ft. ecca vandal & illy),Hilltop Hoods,2019,"But don't mind it if it cause offence, we make moves not amends",*cuts verse*
fuck,exit sign (ft. ecca vandal & illy),Hilltop Hoods,2019,But I don't give a fuck about the money,But I don't give a thought about the money
fuck,exit sign (ft. ecca vandal & illy),Hilltop Hoods,2019,And I don't give a fuck about the party,And I don't give a thought about the party
fuck,exit sign (ft. ecca vandal & illy),Hilltop Hoods,2019,I give a fuck about in this phoney world is Ari,I give a thought about in this phoney world is Ari
god,exit sign (ft. ecca vandal & illy),Hilltop Hoods,2019,"You in it for your fifteen minutes, it's quarter past then, goddamn",*cuts verse*
jesus,exit sign (ft. ecca vandal & illy),Hilltop Hoods,2019,"Jesus wept, ha, I don't mean it",*cuts verse*
bitch,i love it,Icona Pop,2013,"You're from the '70s, but I'm a '90s bitch","You're from the 70's, but I'm a Kidz Bop Kid!"
damn,i love it,Icona Pop,2013,"You're so damn hard to please, we gotta kill this switch","You're so,so hard to please, we gotta flip this switch"
kill,i love it,Icona Pop,2013,"You're so damn hard to please, we gotta kill this switch","You're so,so hard to please, we gotta flip this switch"
kill,i love it,Icona Pop,2013,"You're so damn hard to please, we gotta kill this switch","You're so,so hard to please, we gotta flip this switch"
shit,i love it,Icona Pop,2013,I threw your shit into a bag and pushed it down the stairs,I threw your stuff into a bag and pushed it down the stairs
bitch,fancy,Iggy Azalea,2015,You should want a bad bitch like this (Huh?),*cuts verse*
champagne,fancy,Iggy Azalea,2015,"Champagne spilling, you should taste that",*cuts verse*
drunk,fancy,Iggy Azalea,2015,"Trash the hotel, let's get drunk on the minibar",*cuts verse*
fuck,fancy,Iggy Azalea,2015,"Chandelier swinging, we don't give a fuck",*cuts verse*
gun,fancy,Iggy Azalea,2015,"Slayin' these hoes, gold trigger on the gun like",*cuts verse*
high,fancy,Iggy Azalea,2015,"High heels, something worth a half a ticket on my wrist (On my wrist)",*cuts verse*
liquor,fancy,Iggy Azalea,2015,"Taking all the liquor straight, never chase that (Never)",*cuts verse*
retard,fancy,Iggy Azalea,2015,"That my flow retarded, each beat dear, departed","And my flow just started, each speak it, depart it"
slay,fancy,Iggy Azalea,2015,"Slayin' these hoes, gold trigger on the gun like",*cuts verse*
touch,fancy,Iggy Azalea,2015,"Classic, expensive, you don't get to touch, ow!",*cuts verse*
touch,fancy,Iggy Azalea,2015,"Hot girl, hands off, don't touch that",*cuts verse*
trigger,fancy,Iggy Azalea,2015,"Slayin' these hoes, gold trigger on the gun like",*cuts verse*
bullet,believer,Imagine Dragons,2017,"Pain! Oh, let the bullets fly, oh, let them rain","Pain! Let the feelings fly, oh let them rain"
bleed,natural,Imagine Dragons,2019,"Cut until it bleeds inside a world without the peace, facing","Sing until you scream, inside a world without the peace, face it"
blood,natural,Imagine Dragons,2019,"Took an oath by the blood of my hand, won't break it","Took an oath by the palm of my hand, won't break it"
cut,natural,Imagine Dragons,2019,"Cut until it bleeds inside a world without the peace, facing","Sing until you scream, inside a world without the peace, face it"
cutthroat,natural,Imagine Dragons,2019,Living your life cutthroat,"Living your life, you know"
sin,natural,Imagine Dragons,2019,Will Heaven step in? Will it save us from our sin? Will it?,Will Heaven step in? Will it save us from within? Will it?
gun,thunder,Imagine Dragons,2018,Just a young gun with a quick fuse,Just a young one with a quick fuse
body,whatever it takes,Imagine Dragons,2018,And leave the body and the soul to be a part of thee,*cuts verse*
die,whatever it takes,Imagine Dragons,2018,At least I'll go down to the grave and die happily,*cuts verse*
gun,replay,Iyaz,2010,"That girl, is a gun to my holster",Like somethin' off a poster
gun,replay,Iyaz,2010,"That girl, is a gun to my holster",Like somethin' off a poster
man,mi gente,J Balvin & Willy William,2018,"J Balvin, man",It's boppin 'now
bed,say you won't let go,James Arthur,2017,I'll wake you up with some breakfast in bed,*cuts verse*
chest,say you won't let go,James Arthur,2017,I pulled you closer to my chest,I said I thought you were the best
drank,say you won't let go,James Arthur,2017,We drank too much,We sang so much
kiss,say you won't let go,James Arthur,2017,With a kiss on your head,*cuts verse*
sober,say you won't let go,James Arthur,2017,"For a minute, I was stone cold sober","For a minute, I was feeling older"
fuck,you're beautiful,James Blunt,2006,"She could see from my face that I was, fucking high",She could see from my face that I was flying high
body,it girl,Jason Derulo,2012,"If I get your body close, not letting go",If I ever get you close not letting go
crime,it girl,Jason Derulo,2012,Loving you could be a crime,Hang with me well be just fine
drunk,it girl,Jason Derulo,2012,They don't get another shot 'cause you're love drunk,They don't get another shot cause you're in love
maniac,it girl,Jason Derulo,2012,"I been like a maniac, insomniac",I've been like a manic insomniac
shit,it girl,Jason Derulo,2012,"You can be my it girl, baby, you the shit, girl","You could be my it girl, baby you're the it girl"
damn,i'm yours,Jason Mraz,2009,"Open up your plans and, damn, you're free",Open up your plans and see you're free
kiss,do you remember,Jay Sean,2010,How many years do you want come kiss dis I know you miss this,*cuts verse*
sip,do you remember,Jay Sean,2010,Girl take a sip of the champange take a lil trip down my lane my girl,*cuts verse*
bless,dance again,Jennifer Lopez,2012,"But I told them, 'hallelujah, have a blessed day'",*cuts verse*
chest,dance again,Jennifer Lopez,2012,Mami let me open your treasure chest,*cuts verse*
death,dance again,Jennifer Lopez,2012,"Playboy to the death (uh, yes)",*cuts verse*
dirty,dance again,Jennifer Lopez,2012,I'm a old dirty dog all day,*cuts verse*
lips,dance again,Jennifer Lopez,2012,"Your lips taste like heaven, so why should I stop?","Your song is like heaven, so why should I stop?"
woman,dance again,Jennifer Lopez,2012,"Mr Worldwide, and the world's most beautiful woman",*cuts verse*
women,dance again,Jennifer Lopez,2012,Make women comfortable,*cuts verse*
god,jenny from the block,Jennifer Lopez,2003,Put God first and can't forget to stay real (Real),Can't forget to stay real
men,jenny from the block,Jennifer Lopez,2003,"Men go working, some go stealing",*cuts verse*
women,jenny from the block,Jennifer Lopez,2003,Children grow and women producing,*cuts verse*
bang,how do you sleep?,Jesse McCartney,2009,Not only does your body bang,*cuts verse*
body,how do you sleep?,Jesse McCartney,2009,Not only does your body bang,*cuts verse*
damn,how do you sleep?,Jesse McCartney,2009,Damn those sweet memories,"Ya, those sweet memories"
damn,how do you sleep?,Jesse McCartney,2009,"They say ""We saw your girl at the game and damn",*cuts verse*
sleep,how do you sleep?,Jesse McCartney,2009,"Tell me that you're gettin' no sleep, can't think",*cuts verse*
damn,domino,Jessie J,2012,"Damn, this love is skin tight",Done this club up real tight
dirty,domino,Jessie J,2012,Dirty dancing in the moonlight,Now we're dancing in the moonlight
sex,domino,Jessie J,2012,I'm feeling sexy and free,I'm feeling happy and free
skin,domino,Jessie J,2012,"Damn, this love is skin tight",Done this club up real tight
touch,domino,Jessie J,2012,"When we touch, don't ever let me go","When we dance, don't ever let me go"
damn,price tag,Jessie J,2011,Acting so damn mysterious,Acting so mysterious
man,price tag,Jessie J,2011,"Okay, Coconut Man, Moonhead and Pea",*cuts verse*
man,are you gonna be my girl,Jet (band),2004,"But you were with another man, yeah","But you were with another boy, yeah"
curve,all of me,John Legend,2014,Love your curves and all your edges,Love your words and all your edges
lips,all time low,Jon Bellion,2017,Would put your lips on mine and love the aftertaste,We put your hand in mine and love the afterthought now
shit,all time low,Jon Bellion,2017,"But that shit's broken, that shit's broken","But that thing is broken, that thing is broken"
dammit,cool,Jonas Brothers,2019,"Well, dammit, I'm feelin' so cool, yeah","Yeah, you know I'm feelin' so cool, yeah"
dammit,cool,Jonas Brothers,2019,"Dammit, I'm feelin' so coo-oo-oo-oo-oo-ool",You know I'm feelin' so coo-oo-oo-oo-oo-ool
high,cool,Jonas Brothers,2019,I'm feelin' high like a late night summer of last year (Yeah),I'm feelin' cool like a late night summer of last year (Yeah)
bars,sucker,Jonas Brothers,2019,I've been dancin' on top of cars and stumblin' out of bars,I've been dancin' on top of cars and stumblin' really far
fight,battlefield,Jordin Sparks,2010,(What are we fighting for?),*cuts verse*
war,battlefield,Jordin Sparks,2010,One word turns into war,"One word turns in two, oh"
die,no air,Jordin Sparks,2008,If I should die before I wake,If I should fly before I wake
high,issues,Julia Michaels,2017,"When I'm high, I don't come down",When I'm up I don't come down
shit,issues,Julia Michaels,2017,You do shit on purpose,You do things on purpose
bitch,beauty and a beat,Justin Bieber,2013,Bitches couldn't get on my incline,*cuts verse*
body,beauty and a beat,Justin Bieber,2013,Body rock,Really rock
body,beauty and a beat,Justin Bieber,2013,"Girl, I can feel your body rock (Ayy-ayy-ayy)","Really rock, girl, I can see your really rock (eh, eh, eh)"
buns,beauty and a beat,Justin Bieber,2013,"Buns out, weiner, but I gotta keep an eye out for Selener",*cuts verse*
ink,beauty and a beat,Justin Bieber,2013,"In time, ink lines",*cuts verse*
priest,beauty and a beat,Justin Bieber,2013,Beautiful confessions of the priest,*cuts verse*
sleep,love yourself,Justin Bieber,2016,"But now I know, I'm better sleeping on my own","And now I know, I'm better living on my own"
body,can't stop the feeling!,Justin Timberlake,2016,I feel that hot blood in my body when it drops,"I feel that hot blood in my body when it drops, ooh"
body,can't stop the feeling!,Justin Timberlake,2016,Wanna see you move your body,*cuts verse*
creep,can't stop the feeling!,Justin Timberlake,2016,"A feeling good, good, creeping up on you","A feeling good, good, dancing here with you"
die,my love,Justin Timberlake,2007,"You don't come, I ain't gon' die",*cuts verse*
high,my love,Justin Timberlake,2007,Cause the girls worldwide throw they hands up high,*cuts verse*
high,my love,Justin Timberlake,2007,You say you wanna kick it when I ain't so high (Man),*cuts verse*
man,my love,Justin Timberlake,2007,"I don't know what you hesitatin' for, man",*cuts verse*
man,my love,Justin Timberlake,2007,"But if you got a man, try to lose him if you can",*cuts verse*
man,my love,Justin Timberlake,2007,Cause you ain't been seen with a man so fly,*cuts verse*
man,my love,Justin Timberlake,2007,You say you wanna kick it when I ain't so high (Man),*cuts verse*
woman,my love,Justin Timberlake,2007,"Ain't another woman that could take your spot, my love","Ain't another girl that can take your spot, my love"
bleed,not a bad thing,Justin Timberlake,2014,Now you're bleeding,And you're hurting
cuts,not a bad thing,Justin Timberlake,2014,When someone cuts your heart open with a knife,When someone breaks your heart open with a light
fuck,not a bad thing,Justin Timberlake,2014,Cause you might fuck around and find your dreams come true with me,Cause you might look around and find your dreams come true with me
knife,not a bad thing,Justin Timberlake,2014,When someone cuts your heart open with a knife,When someone breaks your heart open with a light
woman,heartless,Kanye West,2009,He lost his soul to a woman so heartless,He lost his soul to a girl so heartless
ass,california gurls,Katy Perry,2010,All that ass hanging out,*cuts verse*
bikini,california gurls,Katy Perry,2010,"Daisy Dukes, bikinis on top","Fine, fresh, fierce, we got it on lock"
bikini,california gurls,Katy Perry,2010,"Bikinis, zucchinis, martinis, no weenies",*cuts verse*
buns,california gurls,Katy Perry,2010,"Kiss her, touch her, squeeze her buns (Uh!)",*cuts verse*
creep,california gurls,Katy Perry,2010,Trying to creep a little sneak peek (At us),Tryna act a little crazy
freak,california gurls,Katy Perry,2010,We freak in my Jeep ​*horn honks*​,*cuts verse*
freak,california gurls,Katy Perry,2010,The girl's a freak,*cuts verse*
gin,california gurls,Katy Perry,2010,Sipping gin and juice,Sippin' on a juice
kiss,california gurls,Katy Perry,2010,"Kiss her, touch her, squeeze her buns (Uh!)",*cuts verse*
man,california gurls,Katy Perry,2010,"California gurls, man",California gurls
martini,california gurls,Katy Perry,2010,"Bikinis, zucchinis, martinis, no weenies",*cuts verse*
sex,california gurls,Katy Perry,2010,Sex (Sex) on the beach,*cuts verse*
skin,california gurls,Katy Perry,2010,"Sun-kissed skin so hot, we'll melt your popsicle","Sun-kissed beach, so hot, will melt your Popsicle"
touch,california gurls,Katy Perry,2010,"Kiss her, touch her, squeeze her buns (Uh!)",*cuts verse*
drink,chained to the rhythm,Katy Perry,2017,"Drink, this one is on me","Dance, this one is on me"
high,chained to the rhythm,Katy Perry,2017,"Ay, up in your high place, liars",*cuts verse*
addict,dark horse,Katy Perry,2014,"But lil mama so dope, I messed around and got addicted",*cuts verse*
bedroom,dark horse,Katy Perry,2014,"She ride me like a roller coaster, turn the bedroom into a fair (A fair)",*cuts verse*
coma,dark horse,Katy Perry,2014,"She can be my sleeping beauty, I'm gon' put her in a coma (Woo!)",*cuts verse*
damn,dark horse,Katy Perry,2014,"Damn, I think I love her, shawty's so bad, I'm sprung and I don't care",*cuts verse*
dope,dark horse,Katy Perry,2014,"But lil mama so dope, I messed around and got addicted",*cuts verse*
drug,dark horse,Katy Perry,2014,"Her love is like a drug, I was tryna hit it and quit it",*cuts verse*
sleep,dark horse,Katy Perry,2014,"She can be my sleeping beauty, I'm gon' put her in a coma (Woo!)",*cuts verse*
bipolar,hot n cold,Katy Perry,2009,Got a case of a love bipolar,Got a case of a love disorder
bitch,hot n cold,Katy Perry,2009,"Yeah, you PMS like a bitch; I would know","Yeah, you be a mess like a girl I would know"
high,the one that got away,Katy Perry,2012,"Summer after high school, when we first met",Summer right before school when we first met
liquor,the one that got away,Katy Perry,2012,Used to steal your parents' liquor and climb to the roof,Used to eat your favorite ice cream and hang by the pool
tattoo,the one that got away,Katy Perry,2012,"And on my 18th birthday, we got matching tattoos",And when it was my birthday you bought me some balloons
tattoo,the one that got away,Katy Perry,2012,Someone said you had your tattoo removed,Someone said you had your heart break removed
bullet,this is me,Keala Settle,2018,Another round of bullets hits my skin,Another round of words could hit my skin (Ayy)
kiss,already gone,Kelly Clarkson,2010,It started with a perfect kiss then,It started with a perfect thing then
poison,already gone,Kelly Clarkson,2010,We could feel the poison set in,We could feel the power set in
damn,because of you,Kelly Clarkson,2006,For the same damn thing,For the same old thing
die,because of you,Kelly Clarkson,2006,"I watched you die, I heard you cry every night in your sleep","I watched you cry, I heard you cry every night in your sleep"
bed,never again,Kelly Clarkson,2007,"I hope when you're in bed with her, you think of me",I hope that when you're out with her you think of me
die,never again,Kelly Clarkson,2007,"You'll die together, but alone",You'll be together but alone
bed,stronger,Kelly Clarkson,2012,You know the bed feels warmer,You know that life feels better
dead,stronger,Kelly Clarkson,2012,"Baby, you don't know me, 'cause you're dead wrong",Maybe you don't know me cause you've been gone
sleep,stronger,Kelly Clarkson,2012,Sleepin' here alone (Sleepin' here alone),Sitting here alone. sitting here alone
man,walk away,Kelly Clarkson,2007,I want a man by my side,I want a boy by my side
bitch,knocks you down,Keri Hilson,2010,"For advice, OMG, you listen to that, bitch",*cuts verse*
bullet,knocks you down,Keri Hilson,2010,She shot the bullet that ended that life (Oh),*cuts verse*
damn,knocks you down,Keri Hilson,2010,But I know it feels so damn good,"But I know it feels so, so good"
god,knocks you down,Keri Hilson,2010,How could a goddess ask someone that's only average?,"I'll admit it, I was scared to answer love's call"
high,knocks you down,Keri Hilson,2010,I used to be commander-in-chief of my pimp shit flying high (Flying high),I used to be Commander-in-Chief of my own ship flyin' high
pimp,knocks you down,Keri Hilson,2010,I used to be commander-in-chief of my pimp shit flying high (Flying high),I used to be Commander-in-Chief of my own ship flyin' high
pimp,knocks you down,Keri Hilson,2010,I swear to you the pimp in me just died tonight,*cuts verse*
shit,knocks you down,Keri Hilson,2010,I used to be commander-in-chief of my pimp shit flying high (Flying high),I used to be Commander-in-Chief of my own ship flyin' high
god,praying,Kesha,2018,But some things only God can forgive,*cuts verse*
hell,praying,Kesha,2018,’Cause you brought the flames and you put me through hell,You brought the flames and you know it too well
hell,praying,Kesha,2018,You brought the flames and you put me through hell,You brought the flames and you know it too well
pray,praying,Kesha,2018,"Oh, sometimes I pray for you at night",*cuts verse*
bang,let it rock,Kevin Rudolf,2009,"My aim is perfect, I'll bang ya",*cuts verse*
crime,let it rock,Kevin Rudolf,2009,And you do your crime,And you stand in line
dick,let it rock,Kevin Rudolf,2009,"I can dick you up, I can dick you down",*cuts verse*
dirty,let it rock,Kevin Rudolf,2009,Dirty like socks that's on the ground,*cuts verse*
god,let it rock,Kevin Rudolf,2009,So you pray to God to justify the way,So you pray a lot to justify the way you live a lie
panties,let it rock,Kevin Rudolf,2009,"Panties drop, and the tops",*cuts verse*
damn,love lies,Khalid & Normani,2019,But I've been waitin' for you for my whole damn life,But I've been waitin' for you for my whole life
shit,love lies,Khalid & Normani,2019,You've got some shit to say and I'm here to listen,"You've got something to say and I'm here to listen, so, baby..."
bodies,gold,Kiiara,2017,Bodies on the pavement,Running on the pavement
drunk,it ain't me,Kygo & Selena Gomez,2017,When you're drunk and all alone?,Who's waking up to take you home when you're through and all alone?
high,it ain't me,Kygo & Selena Gomez,2017,Nowhere's high enough,Nowhere's far enough
sippin,it ain't me,Kygo & Selena Gomez,2017,We were sipping whiskey neat,You were hanging out with me
whiskey,it ain't me,Kygo & Selena Gomez,2017,"The Bowery, whiskey neat, grateful, I'm so grateful",*cuts verse*
whiskey,it ain't me,Kygo & Selena Gomez,2017,"The Bowery, whiskey neat, grateful, I'm so grateful",*cuts verse*
cigarette,alejandro,Lady Gaga,2010,Just smoke my cigarette and hush,Just walk away from me and hush
cigarette,alejandro,Lady Gaga,2010,"Ale-Alejandro, Ale-Alejandro (Just smoke my cigarette and hush)",Alejandro
